index,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
1,1,3,3,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
2,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
3,3,3,1,1,1,1,1,1,1,2,11,11,7,1,13,1,4,17,4,17,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
4,1,3,1,1,1,1,1,1,1,2,15,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
5,1,3,1,1,1,1,1,1,1,2,13,11,7,2,7,1,4,17,4,17,1,1,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
6,1,3,1,1,1,1,1,1,1,2,13,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
7,1,3,1,1,1,1,1,4,4,2,13,11,7,2,7,1,2,2,2,2,1,2,2,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
8,1,3,3,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,1,4,12,1,7,3,1,3,1,1,3,1,1,1,1,2,7,3,7,1,1,3,3,5,1,6,4,1,1,4,3
9,1,3,1,1,1,1,1,1,1,2,13,11,11,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
10,1,3,3,1,1,1,1,1,1,2,13,11,7,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
11,1,3,1,1,1,1,1,1,1,2,13,11,7,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
12,3,2,1,1,1,1,1,4,4,2,13,13,11,2,11,1,4,17,4,17,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
13,1,3,3,1,1,1,1,4,4,2,11,11,7,2,2,1,2,2,2,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,3,3,1,6,4,1,1,4,3
14,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,2,2,2,2,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
15,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,3,5,5,1,6,4,1,1,4,3
16,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
17,1,3,3,1,1,1,1,4,4,2,13,11,7,2,6,1,2,2,2,2,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
18,1,3,3,1,1,1,1,4,4,2,11,11,7,2,6,1,2,12,2,12,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,3,3,1,6,4,1,1,4,3
19,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,2,12,2,12,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,3,3,1,6,4,1,1,4,3
20,1,3,1,1,1,1,1,4,4,2,13,11,7,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,3,3,1,6,4,1,1,4,3
21,1,3,1,1,1,1,1,4,4,2,13,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
22,1,3,1,1,1,1,1,4,4,2,11,11,7,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
23,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
24,1,3,1,1,1,1,1,4,4,2,13,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
25,1,3,1,1,1,1,1,1,1,2,13,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
26,3,3,1,1,1,1,1,1,1,2,11,11,7,1,11,1,4,17,4,17,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
27,1,3,1,1,1,1,1,1,1,2,11,11,7,2,7,1,4,17,4,17,1,4,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
28,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
29,1,3,1,1,1,1,1,4,4,2,13,11,7,2,6,1,2,12,2,12,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,3,3,1,6,4,1,1,4,3
30,1,3,1,1,1,1,1,1,1,2,13,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
31,1,3,1,1,1,1,1,1,1,2,13,11,7,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
32,1,3,1,1,1,1,1,1,1,2,19,13,15,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
33,1,3,3,1,1,1,1,1,1,2,13,11,11,2,6,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
34,1,3,1,1,1,1,1,1,1,2,15,13,11,2,7,1,4,17,4,17,1,1,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
35,1,3,3,1,1,1,1,1,1,2,15,13,11,2,7,1,4,17,4,17,1,1,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
48,1,3,1,1,1,1,1,4,4,2,11,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
67,3,3,1,1,1,1,1,1,1,2,11,11,7,1,13,1,4,17,4,17,1,4,4,12,1,7,3,4,1,1,1,3,1,1,1,1,1,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
80,1,3,1,1,1,1,1,1,1,2,19,13,15,2,2,1,4,17,4,17,1,1,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
119,1,3,1,1,1,1,1,4,4,2,13,11,7,2,7,1,4,17,4,17,1,1,1,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
120,1,3,1,1,1,1,1,4,4,2,13,11,7,2,2,1,2,2,2,2,1,1,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
121,1,3,1,1,1,1,1,4,4,2,19,13,15,2,7,1,4,17,4,17,1,1,4,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
122,1,3,1,1,1,1,1,1,1,2,13,11,7,2,2,1,4,17,4,17,1,4,4,12,1,7,3,4,2,1,3,1,1,1,1,1,1,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
